accuracy,loss,val_accuracy,val_loss
0.2202380895614624,1.3877718448638916,0.25,1.3863199949264526
0.2291666716337204,1.3866946697235107,0.2638888955116272,1.3862481117248535
0.247023805975914,1.386626958847046,0.25,1.3857369422912598
0.261904776096344,1.3857872486114502,0.3333333432674408,1.3835753202438354
0.247023805975914,1.3871186971664429,0.25,1.3804497718811035
0.300595223903656,1.3825492858886719,0.2916666567325592,1.3676038980484009
0.386904776096344,1.335163950920105,0.4305555522441864,1.248095989227295
0.300595223903656,1.3873746395111084,0.2916666567325592,1.378288745880127
0.2797619104385376,1.373754620552063,0.3055555522441864,1.3178149461746216
0.3422619104385376,1.326540231704712,0.6111111044883728,1.24948251247406
